ime,leto_prve_registracije,prevozeni_kilometri,vrsta_goriva,vrsta_menjalnika,vrsta_motorja,cena

Passat,2016,218550,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",14.400

Passat,2013,264000,diesel motor,avtomatski menjalnik,"1968 ccm, 130 kW / 177 KM",11.500

Tiguan,2018,49748,diesel motor,ročni menjalnik,"1968 ccm, 75 kW / 102 KM",19.990

Touran,2017,116000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",17.000

Golf,2015,248000,diesel motor,ročni menjalnik,"1968 ccm, 135 kW / 184 KM",14.490

Tiguan,2017,83000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",23.990

Caravelle,1997,395000,diesel motor,ročni menjalnik,"2461 ccm, 75 kW / 102 KM",5.900

Golf,2016,112500,bencinski motor,ročni menjalnik,"1197 ccm, 81 kW / 110 KM",11.333

Golf,2015,179000,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",8.800

Passat,2006,274000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",3.800

Golf,2016,199817,diesel motor,avtomatski menjalnik,"1598 ccm, 81 kW / 110 KM",10.300

Polo,2015,99950,bencinski motor,ročni menjalnik,"1197 ccm, 66 kW / 90 KM",8.600

Tiguan,2018,141681,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",27.990

Passat,2015,136955,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",16.990

Golf,2021,8033,bencinski motor,avtomatski menjalnik,"1984 ccm, 180 kW / 245 KM",42.690

Touran,2016,124665,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",18.990

Multivan,2004,400000,diesel motor,ročni menjalnik,"2460 ccm, 128 kW / 174 KM",6.500

Golf,2007,265853,bencinski motor,ročni menjalnik,"1984 ccm, 147 kW / 200 KM",7.499

Polo,2017,169000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",23.900

Passat,2011,269000,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",7.990

Passat,2013,224000,diesel motor,avtomatski menjalnik,"1968 ccm, 130 kW / 177 KM",11.880

